"question","answer"
"Which 5 countries saw the most %increase in fertility between 2012 and 2020 ? where life expectancy is not null in 2012 ,","SELECT geo.geo_name,
       ((ts2.value - ts.value) / ts.value) * 100 as increase_percentage
FROM   (SELECT geo_id,
               date,
               value
        FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries
        WHERE  variable_name = 'Fertility Rate, worldbank.org'
           and date = '2012-01-01') as ts join (SELECT geo_id,
                                            date,
                                            value
                                     FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries
                                     WHERE  variable_name = 'Fertility Rate, worldbank.org'
                                        and date = '2020-01-01') as ts2
        ON ts.geo_id = ts2.geo_id join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo
        ON ts.geo_id = geo.geo_id
WHERE  geo.level = 'Country'
   and ts.value is not null
ORDER BY increase_percentage desc limit 5;"
"Which 5 countries has the maximum Annual Electricity Consumption in 2019 ?","SELECT gi.geo_name,
       dcts.value as annual_electricity_consumption
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as dcts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as gi
        ON dcts.geo_id = gi.geo_id
WHERE  dcts.variable_name = 'Annual Electricity Consumption'
   and gi.level = 'Country'
   and dcts.date between '2019-01-01'
   and '2019-12-31'
ORDER BY dcts.value desc limit 5"
"which country has the most population in 2018 ?","SELECT geo.geo_name,
       ts.value as total_population
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo
        ON ts.geo_id = geo.geo_id
WHERE  ts.variable_name = 'Total Population, census.gov'
   and geo.level = 'Country'
   and ts.date = '2018-01-01'
ORDER BY ts.value desc limit 1;"
"Which country has lowest but greater than 0 cumulative rainfall ?","SELECT geo.geo_name,
       sum(ts.value) as cumulative_rainfall
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo
        ON ts.geo_id = geo.geo_id
WHERE  ts.variable_name = 'Mean Rainfall'
   and geo.level = 'Country'
   and ts.date between '2019-01-01'
   and '2019-12-31'
GROUP BY geo.geo_name having sum(ts.value) > 0
ORDER BY cumulative_rainfall asc limit 1"
"What are different geo names and related geo names, for countries","SELECT geo_name,
       related_geo_name
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.geography_relationships
WHERE  level = 'Country'
ORDER BY geo_name, related_geo_name"
"what are the public holidays in united states in 2023. make sure the dates are unique. order by the date.","SELECT DISTINCT holiday_name,
                date
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar
WHERE  geo_id = 'country/USA'
   and date between '2023-01-01'
   and '2023-12-31'
ORDER BY date asc"
"Which 5 countries have the lowest rainfall in 2023?","SELECT geo.geo_name,
       sum(ts.value) as cumulative_rainfall
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo
        ON ts.geo_id = geo.geo_id
WHERE  ts.variable_name = 'Mean Rainfall'
   and geo.level = 'Country'
   and ts.date between '2023-01-01'
   and '2023-12-31'
GROUP BY geo.geo_name
ORDER BY cumulative_rainfall asc limit 5"
"List all the public holidays in the United States in 2023. Show all columns","SELECT *
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar
WHERE  geo_id = 'country/USA'
   and date between '2023-01-01'
   and '2023-12-31'"
"what is the average rainfall in each country in 2023 ?","SELECT geo.geo_name,
       avg(ts.value) as average_rainfall
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.datacommons_timeseries as ts join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo
        ON ts.geo_id = geo.geo_id
WHERE  ts.variable_name = 'Rainfall'
   and geo.level = 'Country'
   and ts.date = '2023-01-01'
GROUP BY geo.geo_name
ORDER BY average_rainfall desc"
"what are the top 10 countries by the most public holidays in 2023?","SELECT geo.geo_name,
       count(distinct holiday_name) as num_holidays
FROM   cybersyn_us__global_public_data_starter_kit.cybersyn.public_holiday_calendar as cal join cybersyn_us__global_public_data_starter_kit.cybersyn.geography_index as geo
        ON cal.geo_id = geo.geo_id
WHERE  geo.level = 'Country'
   and cal.date between '2023-01-01'
   and '2023-12-31'
GROUP BY geo.geo_name
ORDER BY num_holidays desc limit 10"
