"question","answer"
"Compare the mean monthly federal funds effective rate to the monthly inflation rate expressed as a percentage based on the consumer price index for urban consumers since 1970","with cpi_data as (SELECT date,
                         value,
                         lag(value) OVER (ORDER BY date) as prev_value
                  FROM   financial_data_package.cybersyn.financial_fred_timeseries
                  WHERE  variable_name ilike '%Consumer Price Index%Urban Consumers%'
                     and date >= '1970-01-01'), inflation_rate as (SELECT date,
                                                     (value - prev_value) / prev_value * 100 as monthly_inflation_rate
                                              FROM   cpi_data
                                              WHERE  prev_value is not null), mean_federal_funds_rate as (SELECT date_trunc('month', date) as month,
                                                                   avg(value) as mean_federal_funds_rate
                                                            FROM   financial_data_package.cybersyn.financial_fred_timeseries
                                                            WHERE  variable_name = 'Federal Funds Effective Rate'
                                                               and date >= '1970-01-01'
                                                            GROUP BY month)
SELECT inflation_rate.date,
       inflation_rate.monthly_inflation_rate,
       mean_federal_funds_rate.mean_federal_funds_rate
FROM   inflation_rate join mean_federal_funds_rate
        ON inflation_rate.date = mean_federal_funds_rate.month
ORDER BY inflation_rate.date;"
"What are the bank branches in the zip code with the most number of bank branches, excluding none values?","SELECT *
FROM   financial_data_package.cybersyn.financial_branch_entities
WHERE  id_zip = (SELECT id_zip
                 FROM   financial_data_package.cybersyn.financial_branch_entities
                 WHERE  end_date is null
                    and id_zip is not null
                 GROUP BY id_zip
                 ORDER BY count(*) desc limit 1) and end_date is null and id_zip is not null;"
"Since 1990, how many bank branches are there annually?","SELECT count(*) as n_branches,
       date_trunc('YEAR', start_date) as start_year
FROM   financial_data_package.cybersyn.financial_branch_entities
WHERE  start_date >= '1990-01-01'
GROUP BY start_year
ORDER BY start_year asc"
"Calculate the annualized quarterly inflation rate, as a percentage, based on the consumer price index for urban consumers since 1970","with cpi_data as (SELECT date,
                         value,
                         lag(value) OVER (ORDER BY date) as prev_value
                  FROM   financial_data_package.cybersyn.financial_fred_timeseries
                  WHERE  variable_name ilike '%Consumer Price Index%Urban Consumers%'
                     and date >= '1970-01-01'), quarterly_inflation as (SELECT date,
                                                          value,
                                                          prev_value,
                                                          extract(year
                                                   FROM   date) as year, extract(quarter
                                                   FROM   date) as quarter
                                                   FROM   cpi_data
                                                   WHERE  prev_value is not null), quarterly_inflation_rate as (SELECT year,
                                                                    quarter,
                                                                    (power((value / prev_value), 1.0/3) - 1) * 100 as quarterly_inflation_rate
                                                             FROM   quarterly_inflation)
SELECT year,
       quarter,
       quarterly_inflation_rate
FROM   quarterly_inflation_rate
ORDER BY year, quarter;"
"Which are the top 10 banks by the number of branches open since 1980?","with branch_counts as (SELECT id_rssd_parent,
                              count(*) as branch_count
                       FROM   financial_data_package.cybersyn.financial_branch_entities
                       WHERE  start_date >= '1980-01-01'
                       GROUP BY id_rssd_parent)
SELECT name,
       branch_count
FROM   branch_counts join financial_data_package.cybersyn.financial_institution_entities
        ON financial_institution_entities.id_rssd = branch_counts.id_rssd_parent
ORDER BY branch_count desc limit 10;"
"What are the first 10 rows in the FINANCIAL_INSTITUTION_ATTRIBUTES table?","SELECT VARIABLE, VARIABLE_NAME, DEFINITION, FREQUENCY, UNIT
FROM FINANCIAL_DATA_PACKAGE.CYBERSYN.FINANCIAL_INSTITUTION_ATTRIBUTES
LIMIT 10"
"How many CFPB complaints were made each year?","SELECT date_trunc('YEAR', date_received) as year,
       count(*) as count
FROM   financial_data_package.cybersyn.financial_cfpb_complaint
GROUP BY year
ORDER BY year asc"
"Are the differences in the states' mean monthly not seasonally adjusted unemployment rates in 2008-2010 versus 2020-2022 statistically significant?","with unemployment_rate_2008_2010 as (SELECT geo_name,
                                            avg(value) as avg_unemployment_rate_2008_2010
                                     FROM   financial_data_package.cybersyn.bureau_of_labor_statistics_employment_timeseries join financial_data_package.cybersyn.geography_index
                                             ON bureau_of_labor_statistics_employment_timeseries.geo_id = geography_index.geo_id
                                     WHERE  variable_name like '%Unemployment Rate%Not seasonally adjusted%'
                                        and date between to_date('2008-01-01')
                                        and to_date('2010-12-31')
                                        and level = 'State'
                                     GROUP BY geo_name), unemployment_rate_2020_2022 as (SELECT geo_name,
                                                           avg(value) as avg_unemployment_rate_2020_2022
                                                    FROM   financial_data_package.cybersyn.bureau_of_labor_statistics_employment_timeseries join financial_data_package.cybersyn.geography_index
                                                            ON bureau_of_labor_statistics_employment_timeseries.geo_id = geography_index.geo_id
                                                    WHERE  variable_name like '%Unemployment Rate%Not seasonally adjusted%'
                                                       and date between to_date('2020-01-01')
                                                       and to_date('2022-12-31')
                                                       and level = 'State'
                                                    GROUP BY geo_name)
SELECT avg(difference) as avg_difference,
       stddev_pop(difference) / sqrt(count(*)) as standard_error,
       avg(difference) / (stddev_pop(difference) / sqrt(count(*))) as t_statistic,
       count(*) as num_states
FROM   (SELECT u1.geo_name,
               u1.avg_unemployment_rate_2008_2010,
               u2.avg_unemployment_rate_2020_2022,
               u2.avg_unemployment_rate_2020_2022 - u1.avg_unemployment_rate_2008_2010 as difference
        FROM   unemployment_rate_2008_2010 u1 join unemployment_rate_2020_2022 u2
                ON u1.geo_name = u2.geo_name) as differences
WHERE  not difference is null;"
"What are the names of the countries in the European region?","SELECT n.n_name AS country
FROM SNOWFLAKE_SAMPLE_DATA.TPCH_SF1.REGION r
JOIN SNOWFLAKE_SAMPLE_DATA.TPCH_SF1.NATION n ON r.r_regionkey = n.n_regionkey
WHERE r.r_name = 'EUROPE'"
"Which are the states with the highest mean monthly not seasonally adjusted unemployment rates in 2008-2010 and 2020-2022?","SELECT geo_name,
       avg(value) as avg_unemployment_rate
FROM   financial_data_package.cybersyn.bureau_of_labor_statistics_employment_timeseries join financial_data_package.cybersyn.geography_index
        ON bureau_of_labor_statistics_employment_timeseries.geo_id = geography_index.geo_id
WHERE  variable_name like '%Unemployment Rate%Not seasonally adjusted%'
   and date between to_date('2008-01-01')
   and to_date('2010-12-31')
    or date between to_date('2020-01-01')
   and to_date('2022-12-31')
   and level = 'State'
GROUP BY geo_name having count(distinct case when date between to_date('2008-01-01') and to_date('2010-12-31') then 1 end) = 36 and count(distinct case when date between to_date('2020-01-01') and to_date('2022-12-31') then 1 end) = 36
ORDER BY avg_unemployment_rate desc;"
