"question","answer"
"Which campaigns have the lowest CPM?","SELECT CAMPAIGN_NAME, SUM(SPEND)/SUM(IMPRESSIONS)*1000 AS CPM
FROM FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__CAMPAIGN_REPORT
GROUP BY CAMPAIGN_NAME
ORDER BY CPM ASC
LIMIT 10;"
"What are the top 5 campaigns by spend?","SELECT CAMPAIGN_NAME, SUM(SPEND) AS TOTAL_SPEND
FROM FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__CAMPAIGN_REPORT
GROUP BY CAMPAIGN_NAME
ORDER BY TOTAL_SPEND DESC
LIMIT 5;"
"For the keywords with the lowest CPM , how many impressions did they have?","```
SELECT 
    KEYWORD_TEXT, 
    SUM(IMPRESSIONS) AS TOTAL_IMPRESSIONS,
    SUM(SPEND)/SUM(IMPRESSIONS)*1000 AS CPM
FROM 
    FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__KEYWORD_REPORT 
GROUP BY 
    KEYWORD_TEXT 
HAVING 
    TOTAL_IMPRESSIONS > 0 
ORDER BY 
    CPM ASC 
LIMIT 
    10;
```"
"What keywords have the highest CPM (cost per thousand impressions)?","SELECT KEYWORD_TEXT, SUM(SPEND)/SUM(IMPRESSIONS)*1000 AS CPM
FROM FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__KEYWORD_REPORT
GROUP BY KEYWORD_TEXT
ORDER BY CPM DESC
LIMIT 10;"
"What are the top 10 spending campaigns and corresponding URLs, along with their account, campaign, and ad group information, from a Google Ads URL report?","SELECT 
    DATE_DAY, 
    ACCOUNT_NAME, 
    ACCOUNT_ID, 
    CAMPAIGN_NAME, 
    CAMPAIGN_ID, 
    AD_GROUP_NAME, 
    AD_GROUP_ID, 
    AD_ID, 
    BASE_URL, 
    URL_HOST, 
    URL_PATH, 
    UTM_SOURCE, 
    UTM_MEDIUM, 
    UTM_CAMPAIGN, 
    UTM_CONTENT, 
    UTM_TERM, 
    SPEND, 
    CLICKS, 
    IMPRESSIONS
FROM 
    FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__URL_REPORT 
ORDER BY 
    SPEND DESC 
LIMIT 
    10;"
"Which campaigns have the lowest CPM? Show the total impressions for each of these campaigns?","SELECT 
    CAMPAIGN_NAME, 
    SUM(SPEND)/SUM(IMPRESSIONS)*1000 AS CPM,
    SUM(IMPRESSIONS) AS TOTAL_IMPRESSIONS
FROM 
    FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__CAMPAIGN_REPORT 
GROUP BY 
    CAMPAIGN_NAME 
HAVING 
    SUM(IMPRESSIONS) > 0
ORDER BY 
    CPM ASC 
LIMIT 
    10;"
"Which keywords have the lowest CPM?","SELECT KEYWORD_TEXT, SUM(SPEND)/SUM(IMPRESSIONS)*1000 AS CPM
FROM FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__KEYWORD_REPORT
GROUP BY KEYWORD_TEXT
ORDER BY CPM ASC
LIMIT 10;"
"What are the top 10 daily performance metrics for Google Ads accounts?","SELECT DATE_DAY, ACCOUNT_NAME, ACCOUNT_ID, CURRENCY_CODE, AUTO_TAGGING_ENABLED, TIME_ZONE, SPEND, CLICKS, IMPRESSIONS
FROM FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__ACCOUNT_REPORT
ORDER BY DATE_DAY DESC
LIMIT 10;"
"which 10 facebook campaigns had the highest average CTR over all time per the fb_basic_all_levels table? ","```
SELECT campaign_name, AVG(CTR) as average_ctr
FROM mc_facebook_ads.fb_basic_all_levels
GROUP BY campaign_name
ORDER BY average_ctr DESC
LIMIT 10
```"
"What was my total spending by date for Google ads and Facebook ads by quarter?","SELECT platform,
       extract(year
FROM   date) as year, to_char(date, 'Q') as quarter, sum(total_spend) as total_spend
FROM   (SELECT 'Google Ads' as platform,
               date_day as date,
               sum(spend) as total_spend
        FROM   fivetran_database.mc_google_ads.google_ads__campaign_report
        GROUP BY date_day
        UNION all
SELECT 'Facebook Ads' as platform,
               date,
               sum(spend) as total_spend
        FROM   mc_facebook_ads.fb_basic_all_levels
        GROUP BY date) as all_data
GROUP BY platform, year, quarter
ORDER BY platform, year, quarter;"
"Which keywords had the highest clicks?","SELECT KEYWORD_TEXT, SUM(CLICKS) AS TOTAL_CLICKS
FROM FIVETRAN_DATABASE.MC_GOOGLE_ADS.GOOGLE_ADS__KEYWORD_REPORT
GROUP BY KEYWORD_TEXT
ORDER BY TOTAL_CLICKS DESC
LIMIT 10;"
"What was the total spend for Google Ads vs Facebook ads by date?","SELECT date_day,
       'Google Ads' as platform,
       sum(spend) as total_spend
FROM   fivetran_database.mc_google_ads.google_ads__campaign_report
GROUP BY date_day
UNION all
SELECT date,
       'Facebook Ads' as platform,
       sum(spend) as total_spend
FROM   mc_facebook_ads.fb_basic_all_levels
GROUP BY date
ORDER BY date_day desc;"
