"question","answer"
"what are the year on year total visits on Tesla and ford from 2018 to 2023 ? Convert varchar to date using to date function , Plot a line chart ","SELECT company_name,
       extract(year
FROM   to_date(date, 'YYYY-MM-DD')) as year, sum(total_visits) as total_visits
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  (company_name ilike '%Tesla%'
    or company_name = 'Ford')
   and to_date(date, 'YYYY-MM-DD') between '2018-01-01'
   and '2023-12-31'
GROUP BY company_name, extract(year
FROM   to_date(date, 'YYYY-MM-DD'))
ORDER BY company_name, year;"
"Which 10 domains received the highest amount of traffic on Black Friday in 2021 vs 2020","SELECT domain,
       sum(case when date = '2021-11-26' then total_visits
                else 0 end) as visits_2021,
       sum(case when date = '2020-11-27' then total_visits
                else 0 end) as visits_2020
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  date in ('2021-11-26', '2020-11-27')
GROUP BY domain
ORDER BY (visits_2021 - visits_2020) desc limit 10"
"what are mobile visits for total visits for Coca Cola vs Pepsi in 2021 ?","SELECT 'Coca Cola' as company,
       sum(mobile_visits) as mobile_visits_2021,
       sum(total_visits) as total_visits_2021
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  company_name ilike '%Coca Cola%'
   and date between '2021-01-01'
   and '2021-12-31'
UNION
SELECT 'Pepsi' as company,
       sum(mobile_visits) as mobile_visits_2021,
       sum(total_visits) as total_visits_2021
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  company_name ilike '%Pepsi%'
   and date between '2021-01-01'
   and '2021-12-31'"
"What's the average visit duration by date for each GOOGL domain?","```
SELECT DATE, DOMAIN, AVG(TOTAL_AVG_VISIT_DURATION) AS AVG_VISIT_DURATION
FROM S__P_500_BY_DOMAIN_AND_AGGREGATED_BY_TICKERS_SAMPLE.DATAFEEDS.SP_500
WHERE TICKER = 'GOOGL'
GROUP BY DATE, DOMAIN
ORDER BY DATE ASC
```"
"what are mobile visits for Expedia  from 2010 to 2021  ? Convert date from varchar to date using to date function ","SELECT sum(mobile_visits) as mobile_visits
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  company_name ilike '%expedia%'
   and to_date(date, 'YYYY-MM-DD') between '2010-01-01'
   and '2021-12-31';"
"What is the highest traffic domain for each ticker and what’s the YoY growth rate for the top 10 fastest / slowest growing","with ticker_max_traffic as (SELECT ticker,
                                   domain,
                                   max(total_visits) as max_traffic
                            FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
                            GROUP BY ticker, domain), traffic_data as (SELECT domain,
                                                  extract(year
                                           FROM   cast(date as date)) as year, sum(total_visits) as total_visits
                                           FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
                                           GROUP BY domain, extract(year
                                           FROM   cast(date as date))), yoy_data as (SELECT current_year.domain,
                                                 current_year.year,
                                                 (current_year.total_visits - previous_year.total_visits) / cast(previous_year.total_visits as float) as yoy_growth
                                          FROM   traffic_data as current_year join traffic_data as previous_year
                                                  ON current_year.domain = previous_year.domain and
                                                     current_year.year = previous_year.year + 1), ranked_data as (SELECT domain,
                                                                    avg(yoy_growth) as avg_yoy_growth
                                                             FROM   yoy_data
                                                             GROUP BY domain)
SELECT ticker_max_traffic.ticker,
       ticker_max_traffic.domain,
       ticker_max_traffic.max_traffic,
       ranked_data.avg_yoy_growth
FROM   ticker_max_traffic join ranked_data
        ON ticker_max_traffic.domain = ranked_data.domain
ORDER BY ranked_data.avg_yoy_growth desc limit 10"
"which domains received the highest amount of traffic in the month of November?","SELECT domain,
       sum(total_visits) as total_visits
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  date between '2021-11-01'
   and '2021-11-30'
GROUP BY domain
ORDER BY total_visits desc limit 10"
"which domains received the highest amount of traffic in the month of November on the 26th and 29th?","SELECT domain,
       sum(total_visits) as total_visits
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  date in ('2021-11-26', '2021-11-29')
GROUP BY domain
ORDER BY total_visits desc"
"How many domains are there for AMZN?","SELECT COUNT(DISTINCT DOMAIN) AS NUM_DOMAINS
FROM S__P_500_BY_DOMAIN_AND_AGGREGATED_BY_TICKERS_SAMPLE.DATAFEEDS.SP_500
WHERE TICKER = 'AMZN'"
"What are the top 5 domains that had the highest percentage of mobile visits to total visits?","```
SELECT DOMAIN, 
    ROUND(MOBILE_VISITS*100.0/TOTAL_VISITS,2) AS MOBILE_PERCENTAGE 
FROM S__P_500_BY_DOMAIN_AND_AGGREGATED_BY_TICKERS_SAMPLE.DATAFEEDS.SP_500 
ORDER BY MOBILE_PERCENTAGE DESC 
LIMIT 5
```"
"what are different company names ?","SELECT DISTINCT(company_name)
FROM   datafeeds.sp_500"
"what are mobile visits for Google  from 2001 to 2010  ? Convert date from varchar to date using to date function ","SELECT sum(mobile_visits) as mobile_visits
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  company_name ilike '%google%'
   and to_date(date, 'YYYY-MM-DD') between  '2010-12-31' and '2021-01-01';"
"Which ticker does google.com belong to?","```
SELECT TICKER 
FROM S__P_500_BY_DOMAIN_AND_AGGREGATED_BY_TICKERS_SAMPLE.DATAFEEDS.SP_500 
WHERE DOMAIN = 'google.com'
```"
"what are the year on year total visits on ebay and amazon from 2018 to 2021? Convert varchar to date using to date function , Plot a line chart ","SELECT company_name,
       extract(year
FROM   to_date(date, 'YYYY-MM-DD')) as year, sum(total_visits) as total_visits
FROM   s__p_500_by_domain_and_aggregated_by_tickers_sample.datafeeds.sp_500
WHERE  (company_name ilike '%ebay%'
    or company_name ilike '%amazon%')
   and to_date(date, 'YYYY-MM-DD') between '2018-01-01'
   and '2021-12-31'
GROUP BY company_name, extract(year
FROM   to_date(date, 'YYYY-MM-DD'))
ORDER BY company_name, year;"
"in 2022, which 10 domains had the highest total time spent (visits x duration) with web and mobile combined?","I'm sorry, it seems that the error message you provided is not related to a valid SQL query. Please provide the full SQL query along with the error message so that I can assist you better."
